05-14-2021 20:49:36.550,-,SERIAL,"COM8 - 115200/8/N/1/N"
05-14-2021 20:45:22.352,9259,RECV,414142370D0A
05-14-2021 20:45:23.289,9260,RECV,414142370D0A
05-14-2021 20:45:24.351,9261,RECV,414142370D0A
05-14-2021 20:45:25.351,9262,RECV,414142370D0A
05-14-2021 20:45:26.348,9263,RECV,414142370D0A
05-14-2021 20:45:27.345,9264,RECV,414142370D0A
05-14-2021 20:45:28.347,9265,RECV,414142370D0A
05-14-2021 20:45:29.351,9266,RECV,414142370D0A
05-14-2021 20:45:30.350,9267,RECV,414142370D0A
05-14-2021 20:45:31.344,9268,RECV,414142370D0A
05-14-2021 20:45:32.339,9269,RECV,414142370D0A
05-14-2021 20:45:33.337,9270,RECV,414142370D0A
05-14-2021 20:45:34.332,9271,RECV,414142370D0A
05-14-2021 20:45:35.332,9272,RECV,414142370D0A
05-14-2021 20:45:36.337,9273,RECV,414142370D0A
05-14-2021 20:45:37.335,9274,RECV,414142370D0A
05-14-2021 20:45:38.335,9275,RECV,414142370D0A
05-14-2021 20:45:39.337,9276,RECV,414142370D0A
05-14-2021 20:45:40.336,9277,RECV,414142370D0A
05-14-2021 20:45:41.337,9278,RECV,414142370D0A
05-14-2021 20:45:42.338,9279,RECV,414142370D0A
05-14-2021 20:45:43.339,9280,RECV,414142370D0A
05-14-2021 20:45:44.343,9281,RECV,414142370D0A
05-14-2021 20:45:45.350,9282,RECV,414142370D0A
05-14-2021 20:45:46.348,9283,RECV,414142370D0A
05-14-2021 20:45:47.345,9284,RECV,414142370D0A
05-14-2021 20:45:48.347,9285,RECV,414142370D0A
05-14-2021 20:45:49.349,9286,RECV,414142370D0A
05-14-2021 20:45:50.353,9287,RECV,414142370D0A
05-14-2021 20:45:51.359,9288,RECV,414142370D0A
05-14-2021 20:45:52.366,9289,RECV,414142370D0A
05-14-2021 20:45:53.368,9290,RECV,414142370D0A
05-14-2021 20:45:54.370,9291,RECV,414142370D0A
05-14-2021 20:45:55.380,9292,RECV,414142370D0A
05-14-2021 20:45:56.378,9293,RECV,414142370D0A
05-14-2021 20:45:57.378,9294,RECV,414142370D0A
